,text
0,"RT @GBNEWS: 'With rising interest rates, cash flows are being pushed...Farms are now cutting back on larger retail productions.'

Food infl…"
1,@POTUS You came in and brought inflation wtf r u talking about gramps
2,"5.9% increase on rail fares - government say it's lower than inflation so OK.
Teachers, nurses, doctors and rail wo… https://t.co/tjIIAjzwcU"
3,"RT @AnshumanSail: It is tragic to see that BJP leaders can't see inflation and unemployment in India.

Unemployment is at the highest, pric…"
4,RT @Farazwazir786: The former premier said that there was inflation around the world when his party was in government during COVID-19. He w…
5,"RT @steve_hanke: Instead of addressing sky-high INFLATION, GROWING POVERTY, AND PLUMMETING SAFETY, Pres. Buhari has prioritized leading a F…"
6,"RT @AhmedAbrar92: The one percent elite who are in control of the country have been squeezing the blood of the people of Pakistan, Only Teh…"
7,"RT @steve_hanke: Instead of addressing sky-high INFLATION, GROWING POVERTY, AND PLUMMETING SAFETY, Pres. Buhari has prioritized leading a F…"
8,"@jordanbpeterson Lockdown caused psychological and economic harm, accelerated inflation, and pushed the already vul… https://t.co/5w2GmPYUxJ"
9,"RT @unusual_whales: Larry Summers: ""The Fed can stop inflation. But whether it can stop inflation with a soft landing, without impacts on e…"
10,"RT @771klcraddoc: The Democratic Party has been focused on governing the country. Infrastructure bills, legislation aimed at improving heal…"
11,"RT @UnknownArtistML: [WARNING]
If I ever catch ANYONE drawing my OCs with feet tickling, body inflation, farting/pooping, or any NSFW in ge…"
12,"RT @steve_hanke: Instead of addressing sky-high INFLATION, GROWING POVERTY, AND PLUMMETING SAFETY, Pres. Buhari has prioritized leading a F…"
13,WATCH: Chinese Premier Li Keqiang comments on inflation in his final government work report to the National People’… https://t.co/RZVbcjru8C
14,RT @ImranKhanPTI: Rupee slaughtered - lost over 62% or 110/$ in 11 months of PDM. This has increased public debt alone Rs 14.3 trn &amp; histor…
15,"RT @McardleTrevor: Also

A Government that legalises the pouring of raw sewage into seas &amp; rivers, who wilfully damages the economy, overse…"
16,"RT @steve_hanke: Instead of addressing sky-high INFLATION, GROWING POVERTY, AND PLUMMETING SAFETY, Pres. Buhari has prioritized leading a F…"
17,"currency change and a new system, and both times marked by a war that took place to get rid of the old system and e… https://t.co/Pja32lEwna"
18,@Nike @KingJames @uninterrupted He plays with a ball for a living. Really important during unbelievably high inflat… https://t.co/fwoRmJloJm
19,@SirOfFinance The above arguments do not take into account fiscal angle which is definitely out of purview of Centr… https://t.co/ikBsidSwlx
20,"@Sachitmehra @JustinTrudeau @liberal_party @TerryDuguid @Kevin_Lamoureux inflation, the sneaky tax on the poor"
21,"RT @WallStreetSilv: How Inflation looks like in Germany ...

Before &amp; After ...

🔊music ...🤨 https://t.co/jvUYqz5DEe"
22,"RT @steve_hanke: Instead of addressing sky-high INFLATION, GROWING POVERTY, AND PLUMMETING SAFETY, Pres. Buhari has prioritized leading a F…"
23,"RT @McardleTrevor: Also

A Government that legalises the pouring of raw sewage into seas &amp; rivers, who wilfully damages the economy, overse…"
